2024-12-04 13:47:26,447 - __main__ - INFO - CUDA Environment:
2024-12-04 13:47:26,448 - __main__ - INFO - {'cuda_available': True, 'cuda_version': '11.8', 'gpu_name': 'NVIDIA GeForce RTX 4060 Laptop GPU', 'pytorch_version': '2.0.1', 'python_version': '3.10.15 | packaged by conda-forge | (main, Oct 16 2024, 01:15:49) [MSC v.1941 64 bit (AMD64)]', 'gpu_count': 1, 'current_device': 0, 'memory_allocated': '0.00 GB', 'memory_cached': '0.00 GB'}
2024-12-04 13:47:26,448 - __main__ - INFO - Loading and preprocessing data...
2024-12-04 13:47:27,147 - __main__ - INFO - Starting training...
2024-12-04 13:47:27,178 - training.trainer - INFO - Starting training...
2024-12-04 13:47:41,256 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,285 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,315 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,347 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,379 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,406 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,440 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,470 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,498 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,527 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,555 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,583 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,613 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,649 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,679 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,700 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,720 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,764 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,795 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,833 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,869 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,896 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,928 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,958 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,983 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:42,012 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
